platform,video_id,comment_id,parent_id,author,text,like_count,published_at,updated_at,source_url,video_label,target_neg,target_neu,target_pos
youtube,iV46TJKL8cU,UgwagL2KD03y4uI2XtB4AaABAg,,@DrunkMonkey-gx8oy,Disney - “Coming to a theatre near you” Me - Is that a threat?,97627,2024-12-04T23:15:53Z,2024-12-04T23:15:53Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgyoITtGRyj1j8jx4pt4AaABAg,,@MrH1pster,"This movie is magical. When I closed the tab, my life was magically made better.",12355,2025-01-25T11:40:17Z,2025-01-27T08:07:31Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgxlVrcG-NT8qt1Z5Bl4AaABAg,,@redbearddan2000,I'll give Disney some credit. They are brave enough to leave the comment section open,187153,2024-12-03T17:52:05Z,2024-12-03T17:52:05Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgxRt_KQt6VI1iUZ70N4AaABAg,,@Xerø2846,I finally found it. The one video I will never skip the ads on.,577,2025-07-17T13:15:09Z,2025-07-17T13:15:09Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,Ugx-hHWXISiSKqmpLbR4AaABAg,,@stephenkrzanowski,If i saw this movie on a plane. I would still walk out.,161137,2024-12-03T18:22:29Z,2024-12-03T18:22:29Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgybyJUmXl1FCGb3JMV4AaABAg,,@自称中立,1. Stop the video at 0.00 2. Enjoy the comments section,52612,2024-12-16T03:57:20Z,2024-12-16T03:57:20Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgwoG_0364VyOQz1srN4AaABAg,,@inkdragoon4547,"Mirror, mirror on the wall, When did Lord Farquaad get so tall?",49587,2025-01-27T23:01:52Z,2025-01-27T23:01:52Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,Ugxp4TFNqLFdygV0l0F4AaABAg,,@Its_Immadeformusic,I’m convinced the only reason Disney didn’t turn the comments off is because they had to admit they were funny,192,2025-07-26T05:26:05Z,2025-07-26T05:26:05Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,Ugz7G0qsYcLcitsAOJ14AaABAg,,@momin4728,They finally did it. They made a movie nobody is going to pirate.,141899,2024-12-05T18:23:17Z,2024-12-05T18:23:17Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,Ugzu1SfGbKQr1xSBRTN4AaABAg,,@VexCuomo,"Evil Queen to Mirror: ""Describe Snow White to me."" Mirror: ""Weird, weird.""",71850,2024-12-04T06:35:43Z,2024-12-04T06:35:43Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,UgyLGhsd8xkyxlCYdOJ4AaABAg,,@anoleyn,"""Mirror mirror on the wall, who is the bravest of them all?"" ""Disney, for not locking the comment section""",41477,2024-12-04T19:11:10Z,2024-12-04T19:11:10Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
youtube,iV46TJKL8cU,Ugx8aAHgZV6YJw6rMKR4AaABAg,,@thekhana1,The same movie which started Disney's reputation ended it at the same time. Incredible,394,2025-07-03T20:06:39Z,2025-07-03T20:06:39Z,https://www.youtube.com/watch?v=iV46TJKL8cU,negative,0.8,0.15,0.05
